store,n,cost_pct
CA_3,3046,-23.030754028765564
WI_3,3049,-17.550179178194103
TX_2,3048,-14.700079675228594
WI_2,3046,-14.66619111395796
CA_1,3047,-14.262981369500816
WI_1,3048,-13.379412230253784
TX_1,3049,-11.97464941241414
CA_4,3046,-10.136610146220914
TX_3,3049,-8.96608024068537
CA_2,3046,-5.900959055699007
