metric,mean_control,mean_treatment,diff,pct_change,ci95_low,ci95_high,cohens_d,p_value,test,version
total_cost_per_series,222.84257206208423,228.3184855233853,5.475913461301047,2.4573013184282626,-28.569510343260944,41.17407419295891,0.0208130686847777,0.1104604446928238,mann_whitney_u,v1_lstm_mse
stockout_day_rate,0.0442403125329954,0.0531999575461685,0.008959645013173,20.252219073928934,,,,1.0582828613436844e-08,two_prop_z,v1_lstm_mse
wmape_guardrail,0.8286186272954332,0.7957762353922018,-0.0328423919032314,-3.963511176477807,,,,,,v1_lstm_mse
total_cost_per_series,222.84257206208423,194.15367483296217,-28.68889722912212,-12.874064844813113,-59.94697726902355,4.537360431409478,-0.1175162491211167,0.0008442456637587,mann_whitney_u,v2_lstm_q80
stockout_day_rate,0.0442403125329954,0.1334376990023349,0.0891973864693395,201.6201544752063,,,,0.0,two_prop_z,v2_lstm_q80
wmape_guardrail,0.8286186272954332,1.1103525723559884,0.2817339450605551,34.00043587966635,,,,,,v2_lstm_q80
