model,wmape_vw,wmape_uw,rmse,mase,secs,bias_units
lstm_seq2seq_mse,0.7866973897430848,1.267032732159793,1.276304285793865,0.8926734158557943,282.3,
ets,0.8281892810676762,1.3240593065277653,1.2817213485886418,0.9161871535879672,95.7,
lightgbm,0.8384946059446728,1.4610055093671497,1.2695533100668983,0.9691272505048618,36.6,
seasonal_naive,0.9937272533234864,1.4521885732633362,1.6767838344973327,1.035915780748193,0.4,
lstm_seq2seq_q80,1.1348702966748057,1.7352850820850312,1.6121577909736136,1.2030726357764714,246.5,59419.95251411506
