wmape_vw,wmape_uw,rmse_mean,mase_median,bias_units,n_series,model,fold,secs
1.1049845195082382,1.774795663956713,1.6160287821620405,1.1724100886923372,18145.621488216297,835,lstm_seq2seq_q80,fold_1,51.0
1.1373169638585043,1.5263538860023815,1.590195316921687,1.079528804810499,17710.436263751617,855,lstm_seq2seq_q80,fold_2,52.2
1.0690460323964919,1.6877379821959853,1.5380707216896534,1.1942403286994758,17843.427073863335,874,lstm_seq2seq_q80,fold_3,53.0
