id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_2_047_TX_1_evaluation,58.0,0.0,58.0,0.0,37.0,champion
FOODS_2_057_CA_1_evaluation,31.0,1.0,26.0,0.08333333333333333,27.0,champion
FOODS_2_057_WI_1_evaluation,54.0,7.0,19.0,0.3333333333333333,44.0,champion
FOODS_2_063_TX_1_evaluation,124.0,2.0,114.0,0.08333333333333333,264.0,champion
FOODS_2_074_WI_1_evaluation,136.0,3.0,121.0,0.08333333333333333,346.0,champion
FOODS_2_082_TX_1_evaluation,55.0,3.0,40.0,0.16666666666666666,155.0,champion
FOODS_2_102_CA_1_evaluation,140.0,16.0,60.0,0.16666666666666666,104.0,champion
FOODS_2_103_TX_1_evaluation,92.0,6.0,62.0,0.16666666666666666,60.0,champion
FOODS_2_106_WI_1_evaluation,23.0,0.0,23.0,0.0,73.0,champion
FOODS_2_111_WI_1_evaluation,32.0,0.0,32.0,0.0,48.0,champion
FOODS_2_119_CA_1_evaluation,101.0,0.0,101.0,0.0,143.0,champion
FOODS_2_120_TX_1_evaluation,61.0,4.0,41.0,0.08333333333333333,35.0,champion
FOODS_2_129_CA_1_evaluation,17.0,2.0,7.0,0.16666666666666666,19.0,champion
FOODS_2_129_WI_1_evaluation,29.0,4.0,9.0,0.25,31.0,champion
FOODS_2_131_WI_1_evaluation,87.0,8.0,47.0,0.25,190.0,champion
FOODS_2_135_CA_1_evaluation,71.0,0.0,71.0,0.0,89.0,champion
FOODS_2_137_WI_1_evaluation,95.0,3.0,80.0,0.08333333333333333,91.0,champion
FOODS_2_140_CA_1_evaluation,91.0,12.0,31.0,0.3333333333333333,45.0,champion
FOODS_2_142_TX_1_evaluation,65.0,3.0,50.0,0.08333333333333333,117.0,champion
FOODS_2_145_WI_1_evaluation,131.0,4.0,111.0,0.08333333333333333,381.0,champion
FOODS_2_146_WI_1_evaluation,90.0,0.0,90.0,0.0,114.0,champion
FOODS_2_147_CA_1_evaluation,31.0,0.0,31.0,0.0,65.0,champion
FOODS_2_171_TX_1_evaluation,83.0,9.0,38.0,0.25,219.0,champion
FOODS_2_173_CA_1_evaluation,86.0,10.0,36.0,0.16666666666666666,114.0,champion
