model,wmape_vw,wmape_uw,rmse,mase,secs
ets,0.8281892810676762,1.3240593065277653,1.2817213485886418,0.9161871535879672,95.7
lightgbm,0.8384946059446728,1.4610055093671495,1.2695533100668983,0.9691272505048618,36.6
seasonal_naive,0.9937272533234863,1.4521885732633362,1.6767838344973327,1.0359157807481927,0.4
