model,tau,total_cost,cost_per_series,stockout_rate
champion_ets,,209388.0,232.65333333333334,0.04261904761904762
challenger_q80,0.8,167908.0,186.56444444444443,0.12042820092097602
challenger_q90,0.9,182245.0,202.49444444444444,0.05691261313714074
challenger_q95,0.95,220267.0,244.7411111111111,0.02923040279468586
