id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_2_074_WI_1_evaluation,39.0,0.0,39.0,0.0,73.0,champion
FOODS_2_082_TX_1_evaluation,41.0,0.0,41.0,0.0,27.0,champion
FOODS_2_102_CA_1_evaluation,18.0,0.0,18.0,0.0,30.0,champion
FOODS_2_103_TX_1_evaluation,19.0,2.0,9.0,0.25,57.0,champion
FOODS_2_106_WI_1_evaluation,17.0,1.0,12.0,0.25,21.0,champion
FOODS_2_111_WI_1_evaluation,30.0,4.0,10.0,0.25,22.0,champion
FOODS_2_119_CA_1_evaluation,29.0,0.0,29.0,0.0,66.0,champion
FOODS_2_120_TX_1_evaluation,19.0,1.0,14.0,0.25,11.0,champion
FOODS_2_129_CA_1_evaluation,7.0,0.0,7.0,0.0,1.0,champion
FOODS_2_129_WI_1_evaluation,15.0,2.0,5.0,0.25,9.0,champion
FOODS_2_131_WI_1_evaluation,30.0,0.0,30.0,0.0,50.0,champion
FOODS_2_135_CA_1_evaluation,36.0,1.0,31.0,0.25,30.0,champion
FOODS_2_137_WI_1_evaluation,23.0,0.0,23.0,0.0,33.0,champion
FOODS_2_140_CA_1_evaluation,38.0,5.0,13.0,0.25,36.0,champion
FOODS_2_142_TX_1_evaluation,33.0,0.0,33.0,0.0,23.0,champion
FOODS_2_145_WI_1_evaluation,55.0,0.0,55.0,0.0,105.0,champion
FOODS_2_146_WI_1_evaluation,20.0,0.0,20.0,0.0,44.0,champion
FOODS_2_147_CA_1_evaluation,16.0,0.0,16.0,0.0,20.0,champion
FOODS_2_171_TX_1_evaluation,18.0,0.0,18.0,0.0,70.0,champion
FOODS_2_173_CA_1_evaluation,20.0,0.0,20.0,0.0,36.0,champion
FOODS_2_175_WI_1_evaluation,36.0,2.0,26.0,0.25,192.0,champion
FOODS_2_181_WI_1_evaluation,82.0,5.0,57.0,0.25,180.0,champion
FOODS_2_195_WI_1_evaluation,13.0,1.0,8.0,0.25,21.0,champion
FOODS_2_196_TX_1_evaluation,32.0,0.0,32.0,0.0,24.0,champion
FOODS_2_197_WI_1_evaluation,41.0,0.0,41.0,0.0,55.0,champion
FOODS_2_198_CA_1_evaluation,28.0,0.0,28.0,0.0,20.0,champion
FOODS_2_199_CA_1_evaluation,35.0,0.0,35.0,0.0,33.0,champion
FOODS_2_208_CA_1_evaluation,26.0,0.0,26.0,0.0,38.0,champion
FOODS_2_220_WI_1_evaluation,30.0,0.0,30.0,0.0,62.0,champion
FOODS_2_221_CA_1_evaluation,43.0,2.0,33.0,0.25,81.0,champion
FOODS_2_223_TX_1_evaluation,10.0,0.0,10.0,0.0,6.0,champion
FOODS_2_228_WI_1_evaluation,10.0,0.0,10.0,0.0,2.0,champion
FOODS_2_230_TX_1_evaluation,15.0,2.0,5.0,0.25,13.0,champion
FOODS_2_238_TX_1_evaluation,23.0,0.0,23.0,0.0,1.0,champion
FOODS_2_239_WI_1_evaluation,7.0,0.0,7.0,0.0,5.0,champion
FOODS_2_241_TX_1_evaluation,47.0,0.0,47.0,0.0,85.0,champion
FOODS_2_247_WI_1_evaluation,35.0,0.0,35.0,0.0,117.0,champion
FOODS_2_248_CA_1_evaluation,15.0,0.0,15.0,0.0,17.0,champion
FOODS_2_250_TX_1_evaluation,28.0,0.0,28.0,0.0,4.0,champion
FOODS_2_250_WI_1_evaluation,15.0,2.0,5.0,0.25,13.0,champion
FOODS_2_270_WI_1_evaluation,43.0,0.0,43.0,0.0,21.0,champion
FOODS_2_274_CA_1_evaluation,36.0,5.0,11.0,0.25,50.0,champion
FOODS_2_276_CA_1_evaluation,304.0,0.0,304.0,0.0,224.0,champion
FOODS_2_290_WI_1_evaluation,51.0,5.0,26.0,0.25,67.0,champion
FOODS_2_292_WI_1_evaluation,20.0,3.0,5.0,0.25,10.0,champion
FOODS_2_307_WI_1_evaluation,55.0,0.0,55.0,0.0,85.0,champion
FOODS_2_313_TX_1_evaluation,12.0,0.0,12.0,0.0,4.0,champion
FOODS_2_343_CA_1_evaluation,35.0,5.0,10.0,0.25,19.0,champion
FOODS_2_345_TX_1_evaluation,14.0,0.0,14.0,0.0,14.0,champion
FOODS_2_349_WI_1_evaluation,34.0,5.0,9.0,0.25,124.0,champion
FOODS_2_357_TX_1_evaluation,55.0,0.0,55.0,0.0,25.0,champion
FOODS_2_360_CA_1_evaluation,167.0,0.0,167.0,0.0,333.0,champion
FOODS_2_363_TX_1_evaluation,4.0,0.0,4.0,0.0,8.0,champion
FOODS_2_378_WI_1_evaluation,16.0,0.0,16.0,0.0,16.0,champion
FOODS_2_380_CA_1_evaluation,55.0,0.0,55.0,0.0,45.0,champion
FOODS_2_383_TX_1_evaluation,14.0,1.0,9.0,0.25,24.0,champion
FOODS_2_383_WI_1_evaluation,34.0,0.0,34.0,0.0,70.0,champion
FOODS_2_391_TX_1_evaluation,18.0,0.0,18.0,0.0,42.0,champion
FOODS_2_395_TX_1_evaluation,8.0,1.0,3.0,0.25,6.0,champion
FOODS_2_398_CA_1_evaluation,9.0,0.0,9.0,0.0,35.0,champion
FOODS_2_398_WI_1_evaluation,65.0,0.0,65.0,0.0,227.0,champion
FOODS_3_001_TX_1_evaluation,14.0,0.0,14.0,0.0,2.0,champion
FOODS_3_003_CA_1_evaluation,16.0,0.0,16.0,0.0,16.0,champion
FOODS_3_010_WI_1_evaluation,80.0,16.0,0.0,1.0,48.0,champion
FOODS_3_011_WI_1_evaluation,25.0,0.0,25.0,0.0,63.0,champion
FOODS_3_013_CA_1_evaluation,27.0,0.0,27.0,0.0,101.0,champion
FOODS_3_013_WI_1_evaluation,11.0,0.0,11.0,0.0,57.0,champion
FOODS_3_014_CA_1_evaluation,31.0,0.0,31.0,0.0,29.0,champion
FOODS_3_033_TX_1_evaluation,14.0,0.0,14.0,0.0,6.0,champion
FOODS_3_036_CA_1_evaluation,23.0,0.0,23.0,0.0,17.0,champion
FOODS_3_036_WI_1_evaluation,12.0,0.0,12.0,0.0,12.0,champion
FOODS_3_040_WI_1_evaluation,32.0,2.0,22.0,0.25,48.0,champion
FOODS_3_048_TX_1_evaluation,32.0,6.0,2.0,0.5,48.0,champion
FOODS_3_057_TX_1_evaluation,11.0,0.0,11.0,0.0,5.0,champion
FOODS_3_077_CA_1_evaluation,175.0,26.0,45.0,0.25,97.0,champion
FOODS_3_078_TX_1_evaluation,11.0,0.0,11.0,0.0,1.0,champion
FOODS_3_084_CA_1_evaluation,23.0,0.0,23.0,0.0,21.0,champion
FOODS_3_085_CA_1_evaluation,14.0,0.0,14.0,0.0,18.0,champion
FOODS_3_085_WI_1_evaluation,13.0,2.0,3.0,0.5,23.0,champion
FOODS_3_086_WI_1_evaluation,74.0,12.0,14.0,0.25,22.0,champion
FOODS_3_087_TX_1_evaluation,55.0,0.0,55.0,0.0,89.0,champion
FOODS_3_094_WI_1_evaluation,36.0,0.0,36.0,0.0,28.0,champion
FOODS_3_096_TX_1_evaluation,11.0,0.0,11.0,0.0,13.0,champion
FOODS_3_104_WI_1_evaluation,15.0,0.0,15.0,0.0,21.0,champion
FOODS_3_106_TX_1_evaluation,46.0,0.0,46.0,0.0,10.0,champion
FOODS_3_119_CA_1_evaluation,26.0,0.0,26.0,0.0,22.0,champion
FOODS_3_119_TX_1_evaluation,7.0,0.0,7.0,0.0,13.0,champion
FOODS_3_128_TX_1_evaluation,11.0,1.0,6.0,0.25,15.0,champion
FOODS_3_132_TX_1_evaluation,32.0,0.0,32.0,0.0,4.0,champion
FOODS_3_135_TX_1_evaluation,42.0,0.0,42.0,0.0,238.0,champion
FOODS_3_137_CA_1_evaluation,35.0,4.0,15.0,0.25,25.0,champion
FOODS_3_143_TX_1_evaluation,18.0,0.0,18.0,0.0,10.0,champion
FOODS_3_151_CA_1_evaluation,61.0,0.0,61.0,0.0,39.0,champion
FOODS_3_161_CA_1_evaluation,10.0,0.0,10.0,0.0,14.0,champion
FOODS_3_166_CA_1_evaluation,37.0,0.0,37.0,0.0,11.0,champion
FOODS_3_166_TX_1_evaluation,27.0,0.0,27.0,0.0,9.0,champion
FOODS_3_172_WI_1_evaluation,19.0,1.0,14.0,0.25,27.0,champion
FOODS_3_188_TX_1_evaluation,10.0,1.0,5.0,0.25,4.0,champion
FOODS_3_188_WI_1_evaluation,12.0,0.0,12.0,0.0,8.0,champion
FOODS_3_196_CA_1_evaluation,18.0,0.0,18.0,0.0,22.0,champion
FOODS_3_198_WI_1_evaluation,8.0,0.0,8.0,0.0,4.0,champion
FOODS_3_200_TX_1_evaluation,22.0,0.0,22.0,0.0,2.0,champion
FOODS_3_206_TX_1_evaluation,6.0,0.0,6.0,0.0,14.0,champion
FOODS_3_210_CA_1_evaluation,24.0,3.0,9.0,0.25,6.0,champion
FOODS_3_211_TX_1_evaluation,14.0,0.0,14.0,0.0,18.0,champion
FOODS_3_213_CA_1_evaluation,21.0,0.0,21.0,0.0,19.0,champion
FOODS_3_223_TX_1_evaluation,13.0,2.0,3.0,0.5,7.0,champion
FOODS_3_240_TX_1_evaluation,36.0,4.0,16.0,0.25,16.0,champion
FOODS_3_243_CA_1_evaluation,16.0,0.0,16.0,0.0,16.0,champion
FOODS_3_246_WI_1_evaluation,11.0,0.0,11.0,0.0,25.0,champion
FOODS_3_255_TX_1_evaluation,3.0,0.0,3.0,0.0,5.0,champion
FOODS_3_260_CA_1_evaluation,46.0,8.0,6.0,0.5,42.0,champion
FOODS_3_262_WI_1_evaluation,17.0,0.0,17.0,0.0,15.0,champion
FOODS_3_265_WI_1_evaluation,15.0,0.0,15.0,0.0,17.0,champion
FOODS_3_269_CA_1_evaluation,38.0,0.0,38.0,0.0,34.0,champion
FOODS_3_269_WI_1_evaluation,25.0,3.0,10.0,0.25,29.0,champion
FOODS_3_272_WI_1_evaluation,14.0,0.0,14.0,0.0,2.0,champion
FOODS_3_273_TX_1_evaluation,7.0,0.0,7.0,0.0,9.0,champion
FOODS_3_276_CA_1_evaluation,28.0,0.0,28.0,0.0,0.0,champion
FOODS_3_283_TX_1_evaluation,38.0,0.0,38.0,0.0,54.0,champion
FOODS_3_287_WI_1_evaluation,20.0,0.0,20.0,0.0,0.0,champion
FOODS_3_291_WI_1_evaluation,20.0,0.0,20.0,0.0,28.0,champion
FOODS_3_293_CA_1_evaluation,14.0,1.0,9.0,0.25,12.0,champion
FOODS_3_295_CA_1_evaluation,200.0,0.0,200.0,0.0,604.0,champion
FOODS_3_296_WI_1_evaluation,113.0,22.0,3.0,0.75,63.0,champion
