model,wmape,rmse,bias_pct,mase_median
ets,0.40539404812540775,5.777394121929882,-3.725461184265437,0.6646255075060703
arima,0.4087163301232417,5.774740707538905,-3.8016979707188154,0.6645289944664545
moving_average_4,0.41637961602755685,5.937615495952713,-2.482143761714199,0.6719110695833792
moving_average_8,0.42336697735677015,6.11584586151841,-3.4199128716883647,0.6634801945917387
croston_sba,0.43891488310791466,6.181415274586111,-8.552590174537547,0.6788257740991751
naive_last,0.4726204346284383,6.621276032329138,-4.4729243705992605,0.7706701278755703
seasonal_naive_52,0.6334785471860594,9.599845677771963,-3.5433868598348615,0.9419907300091181
