id,arm,total_cost
FOODS_3_591_CA_1_evaluation,treatment,266.0
FOODS_3_595_CA_1_evaluation,treatment,154.0
FOODS_3_614_WI_1_evaluation,treatment,256.0
FOODS_3_629_CA_1_evaluation,treatment,116.0
FOODS_3_638_CA_1_evaluation,treatment,216.0
FOODS_3_640_CA_1_evaluation,treatment,379.0
FOODS_3_652_CA_1_evaluation,treatment,613.0
FOODS_3_667_TX_1_evaluation,treatment,81.0
FOODS_3_676_WI_1_evaluation,treatment,203.0
FOODS_3_677_TX_1_evaluation,treatment,107.0
FOODS_3_690_TX_1_evaluation,treatment,92.0
FOODS_3_692_WI_1_evaluation,treatment,664.0
FOODS_3_710_WI_1_evaluation,treatment,92.0
FOODS_3_712_TX_1_evaluation,treatment,164.0
FOODS_3_727_CA_1_evaluation,treatment,295.0
FOODS_3_727_WI_1_evaluation,treatment,211.0
FOODS_3_734_TX_1_evaluation,treatment,470.0
FOODS_3_738_CA_1_evaluation,treatment,613.0
FOODS_3_742_WI_1_evaluation,treatment,402.0
FOODS_3_752_CA_1_evaluation,treatment,939.0
FOODS_3_753_CA_1_evaluation,treatment,315.0
FOODS_3_755_CA_1_evaluation,treatment,841.0
FOODS_3_757_WI_1_evaluation,treatment,644.0
FOODS_3_761_CA_1_evaluation,treatment,91.0
FOODS_3_762_CA_1_evaluation,treatment,250.0
FOODS_3_763_TX_1_evaluation,treatment,10.0
FOODS_3_770_TX_1_evaluation,treatment,103.0
FOODS_3_783_CA_1_evaluation,treatment,349.0
FOODS_3_786_CA_1_evaluation,treatment,280.0
FOODS_3_818_CA_1_evaluation,treatment,308.0
HOBBIES_1_020_TX_1_evaluation,treatment,50.0
HOBBIES_1_022_TX_1_evaluation,treatment,80.0
HOBBIES_1_023_TX_1_evaluation,treatment,152.0
HOBBIES_1_028_CA_1_evaluation,treatment,106.0
HOBBIES_1_034_TX_1_evaluation,treatment,145.0
HOBBIES_1_038_CA_1_evaluation,treatment,110.0
HOBBIES_1_038_TX_1_evaluation,treatment,45.0
HOBBIES_1_039_CA_1_evaluation,treatment,55.0
HOBBIES_1_046_CA_1_evaluation,treatment,123.0
HOBBIES_1_046_TX_1_evaluation,treatment,93.0
HOBBIES_1_054_CA_1_evaluation,treatment,64.0
HOBBIES_1_056_CA_1_evaluation,treatment,240.0
HOBBIES_1_056_WI_1_evaluation,treatment,293.0
HOBBIES_1_058_CA_1_evaluation,treatment,100.0
HOBBIES_1_068_TX_1_evaluation,treatment,109.0
HOBBIES_1_069_WI_1_evaluation,treatment,80.0
HOBBIES_1_070_CA_1_evaluation,treatment,35.0
HOBBIES_1_077_CA_1_evaluation,treatment,158.0
HOBBIES_1_078_WI_1_evaluation,treatment,189.0
HOBBIES_1_084_TX_1_evaluation,treatment,164.0
HOBBIES_1_084_WI_1_evaluation,treatment,206.0
HOBBIES_1_088_WI_1_evaluation,treatment,228.0
HOBBIES_1_092_WI_1_evaluation,treatment,98.0
HOBBIES_1_094_WI_1_evaluation,treatment,30.0
HOBBIES_1_099_WI_1_evaluation,treatment,118.0
HOBBIES_1_107_WI_1_evaluation,treatment,146.0
HOBBIES_1_111_TX_1_evaluation,treatment,0.0
HOBBIES_1_113_CA_1_evaluation,treatment,60.0
HOBBIES_1_113_TX_1_evaluation,treatment,87.0
HOBBIES_1_117_TX_1_evaluation,treatment,20.0
HOBBIES_1_122_CA_1_evaluation,treatment,501.0
HOBBIES_1_127_TX_1_evaluation,treatment,137.0
HOBBIES_1_135_WI_1_evaluation,treatment,107.0
HOBBIES_1_141_WI_1_evaluation,treatment,178.0
HOBBIES_1_142_TX_1_evaluation,treatment,184.0
HOBBIES_1_152_WI_1_evaluation,treatment,166.0
HOBBIES_1_157_WI_1_evaluation,treatment,90.0
HOBBIES_1_160_TX_1_evaluation,treatment,135.0
HOBBIES_1_163_TX_1_evaluation,treatment,15.0
HOBBIES_1_163_WI_1_evaluation,treatment,85.0
HOBBIES_1_169_CA_1_evaluation,treatment,1580.0
HOBBIES_1_174_TX_1_evaluation,treatment,56.0
HOBBIES_1_177_CA_1_evaluation,treatment,181.0
HOBBIES_1_181_WI_1_evaluation,treatment,30.0
HOBBIES_1_188_CA_1_evaluation,treatment,105.0
HOBBIES_1_189_TX_1_evaluation,treatment,414.0
HOBBIES_1_201_CA_1_evaluation,treatment,227.0
HOBBIES_1_210_CA_1_evaluation,treatment,0.0
HOBBIES_1_214_CA_1_evaluation,treatment,50.0
HOBBIES_1_214_TX_1_evaluation,treatment,65.0
HOBBIES_1_215_WI_1_evaluation,treatment,78.0
HOBBIES_1_218_CA_1_evaluation,treatment,91.0
HOBBIES_1_219_TX_1_evaluation,treatment,60.0
HOBBIES_1_230_WI_1_evaluation,treatment,30.0
HOBBIES_1_234_TX_1_evaluation,treatment,1406.0
HOBBIES_1_237_TX_1_evaluation,treatment,125.0
HOBBIES_1_243_CA_1_evaluation,treatment,95.0
HOBBIES_1_253_WI_1_evaluation,treatment,99.0
HOBBIES_1_255_WI_1_evaluation,treatment,204.0
HOBBIES_1_256_CA_1_evaluation,treatment,1074.0
HOBBIES_1_257_TX_1_evaluation,treatment,93.0
HOBBIES_1_259_WI_1_evaluation,treatment,102.0
HOBBIES_1_260_CA_1_evaluation,treatment,40.0
HOBBIES_1_266_CA_1_evaluation,treatment,223.0
HOBBIES_1_270_WI_1_evaluation,treatment,134.0
HOBBIES_1_271_CA_1_evaluation,treatment,88.0
HOBBIES_1_271_WI_1_evaluation,treatment,20.0
HOBBIES_1_272_WI_1_evaluation,treatment,89.0
HOBBIES_1_275_WI_1_evaluation,treatment,40.0
HOBBIES_1_278_WI_1_evaluation,treatment,654.0
HOBBIES_1_284_TX_1_evaluation,treatment,55.0
HOBBIES_1_287_TX_1_evaluation,treatment,90.0
HOBBIES_1_288_TX_1_evaluation,treatment,348.0
HOBBIES_1_289_TX_1_evaluation,treatment,15.0
HOBBIES_1_289_WI_1_evaluation,treatment,181.0
HOBBIES_1_292_CA_1_evaluation,treatment,81.0
HOBBIES_1_292_WI_1_evaluation,treatment,104.0
HOBBIES_1_295_CA_1_evaluation,treatment,1176.0
HOBBIES_1_299_WI_1_evaluation,treatment,70.0
HOBBIES_1_308_TX_1_evaluation,treatment,155.0
HOBBIES_1_310_TX_1_evaluation,treatment,35.0
HOBBIES_1_312_CA_1_evaluation,treatment,568.0
HOBBIES_1_313_WI_1_evaluation,treatment,100.0
HOBBIES_1_318_CA_1_evaluation,treatment,107.0
HOBBIES_1_326_TX_1_evaluation,treatment,70.0
HOBBIES_1_329_WI_1_evaluation,treatment,83.0
HOBBIES_1_331_CA_1_evaluation,treatment,151.0
HOBBIES_1_348_TX_1_evaluation,treatment,733.0
HOBBIES_1_349_TX_1_evaluation,treatment,133.0
HOBBIES_1_352_TX_1_evaluation,treatment,120.0
HOBBIES_1_357_WI_1_evaluation,treatment,56.0
HOBBIES_1_362_WI_1_evaluation,treatment,114.0
HOBBIES_1_367_WI_1_evaluation,treatment,152.0
HOBBIES_1_371_TX_1_evaluation,treatment,479.0
HOBBIES_1_373_WI_1_evaluation,treatment,129.0
HOBBIES_1_375_WI_1_evaluation,treatment,35.0
HOBBIES_1_381_WI_1_evaluation,treatment,237.0
HOBBIES_1_383_CA_1_evaluation,treatment,154.0
HOBBIES_1_386_WI_1_evaluation,treatment,67.0
HOBBIES_1_388_TX_1_evaluation,treatment,142.0
HOBBIES_1_394_CA_1_evaluation,treatment,258.0
HOBBIES_1_407_TX_1_evaluation,treatment,143.0
HOBBIES_1_408_TX_1_evaluation,treatment,480.0
HOBBIES_1_412_WI_1_evaluation,treatment,197.0
HOBBIES_1_413_TX_1_evaluation,treatment,154.0
HOBBIES_1_415_CA_1_evaluation,treatment,193.0
HOBBIES_1_421_CA_1_evaluation,treatment,125.0
HOBBIES_1_422_TX_1_evaluation,treatment,55.0
HOBBIES_2_003_WI_1_evaluation,treatment,5.0
HOBBIES_2_005_CA_1_evaluation,treatment,89.0
HOBBIES_2_009_WI_1_evaluation,treatment,155.0
HOBBIES_2_012_CA_1_evaluation,treatment,35.0
HOBBIES_2_012_WI_1_evaluation,treatment,30.0
HOBBIES_2_020_TX_1_evaluation,treatment,45.0
HOBBIES_2_020_WI_1_evaluation,treatment,55.0
HOBBIES_2_028_TX_1_evaluation,treatment,128.0
HOBBIES_2_029_WI_1_evaluation,treatment,174.0
HOBBIES_2_040_WI_1_evaluation,treatment,35.0
HOBBIES_2_041_TX_1_evaluation,treatment,64.0
HOBBIES_2_043_CA_1_evaluation,treatment,295.0
HOBBIES_2_046_CA_1_evaluation,treatment,76.0
HOBBIES_2_049_TX_1_evaluation,treatment,90.0
HOBBIES_2_054_TX_1_evaluation,treatment,40.0
HOBBIES_2_055_TX_1_evaluation,treatment,85.0
HOBBIES_2_063_WI_1_evaluation,treatment,92.0
HOBBIES_2_065_WI_1_evaluation,treatment,120.0
HOBBIES_2_071_WI_1_evaluation,treatment,102.0
HOBBIES_2_073_CA_1_evaluation,treatment,85.0
HOBBIES_2_075_CA_1_evaluation,treatment,128.0
HOBBIES_2_076_WI_1_evaluation,treatment,118.0
HOBBIES_2_077_CA_1_evaluation,treatment,5.0
HOBBIES_2_080_TX_1_evaluation,treatment,25.0
HOBBIES_2_080_WI_1_evaluation,treatment,35.0
HOBBIES_2_085_CA_1_evaluation,treatment,117.0
HOBBIES_2_093_TX_1_evaluation,treatment,60.0
HOBBIES_2_095_TX_1_evaluation,treatment,65.0
HOBBIES_2_099_CA_1_evaluation,treatment,45.0
HOBBIES_2_100_CA_1_evaluation,treatment,189.0
HOBBIES_2_107_TX_1_evaluation,treatment,168.0
HOBBIES_2_108_CA_1_evaluation,treatment,30.0
HOBBIES_2_111_TX_1_evaluation,treatment,20.0
HOBBIES_2_114_CA_1_evaluation,treatment,124.0
HOBBIES_2_120_CA_1_evaluation,treatment,162.0
HOBBIES_2_120_TX_1_evaluation,treatment,262.0
HOBBIES_2_124_TX_1_evaluation,treatment,191.0
HOBBIES_2_127_TX_1_evaluation,treatment,40.0
HOBBIES_2_128_CA_1_evaluation,treatment,75.0
HOBBIES_2_131_TX_1_evaluation,treatment,299.0
HOBBIES_2_131_WI_1_evaluation,treatment,117.0
HOBBIES_2_133_WI_1_evaluation,treatment,165.0
HOBBIES_2_139_CA_1_evaluation,treatment,55.0
HOUSEHOLD_1_016_CA_1_evaluation,treatment,268.0
HOUSEHOLD_1_040_CA_1_evaluation,treatment,230.0
HOUSEHOLD_1_049_TX_1_evaluation,treatment,235.0
HOUSEHOLD_1_052_CA_1_evaluation,treatment,140.0
HOUSEHOLD_1_054_CA_1_evaluation,treatment,84.0
