metric,mean_control,mean_treatment,diff,pct_change,ci95_low,ci95_high,cohens_d,p_value,test
total_cost_per_series,222.84257206208426,228.3184855233853,5.475913461301047,2.4573013184282626,-28.569510343260944,41.17407419295891,0.02081306868477776,0.11046044469282389,mann_whitney_u
stockout_day_rate,0.04424031253299546,0.05319995754616854,0.008959645013173083,20.252219073928934,,,,1.0582828613436845e-08,two_prop_z
wmape_guardrail,0.8286186272954332,0.7957762353922018,-0.03284239190323146,-3.9635111764778075,,,,,n/a
