id,arm,total_cost
FOODS_3_536_TX_1_evaluation,control,107.0
FOODS_3_554_CA_1_evaluation,control,130.0
FOODS_3_556_WI_1_evaluation,control,195.0
FOODS_3_563_TX_1_evaluation,control,196.0
FOODS_3_572_CA_1_evaluation,control,695.0
FOODS_3_583_TX_1_evaluation,control,263.0
FOODS_3_615_WI_1_evaluation,control,277.0
FOODS_3_620_CA_1_evaluation,control,185.0
FOODS_3_651_TX_1_evaluation,control,254.0
FOODS_3_651_WI_1_evaluation,control,173.0
FOODS_3_653_TX_1_evaluation,control,193.0
FOODS_3_662_TX_1_evaluation,control,117.0
FOODS_3_665_CA_1_evaluation,control,468.0
FOODS_3_666_TX_1_evaluation,control,158.0
FOODS_3_668_WI_1_evaluation,control,701.0
FOODS_3_687_WI_1_evaluation,control,218.0
FOODS_3_701_WI_1_evaluation,control,166.0
FOODS_3_704_TX_1_evaluation,control,301.0
FOODS_3_722_TX_1_evaluation,control,99.0
FOODS_3_741_CA_1_evaluation,control,1990.0
FOODS_3_776_TX_1_evaluation,control,265.0
FOODS_3_790_TX_1_evaluation,control,80.0
FOODS_3_790_WI_1_evaluation,control,164.0
FOODS_3_792_WI_1_evaluation,control,423.0
FOODS_3_816_TX_1_evaluation,control,1351.0
FOODS_3_827_WI_1_evaluation,control,648.0
HOBBIES_1_002_TX_1_evaluation,control,87.0
HOBBIES_1_003_CA_1_evaluation,control,130.0
HOBBIES_1_007_TX_1_evaluation,control,84.0
HOBBIES_1_008_CA_1_evaluation,control,1875.0
HOBBIES_1_009_TX_1_evaluation,control,250.0
HOBBIES_1_024_WI_1_evaluation,control,147.0
HOBBIES_1_029_TX_1_evaluation,control,218.0
HOBBIES_1_035_WI_1_evaluation,control,91.0
HOBBIES_1_038_WI_1_evaluation,control,76.0
HOBBIES_1_041_TX_1_evaluation,control,84.0
HOBBIES_1_044_TX_1_evaluation,control,83.0
HOBBIES_1_048_CA_1_evaluation,control,1776.0
HOBBIES_1_050_TX_1_evaluation,control,81.0
HOBBIES_1_051_CA_1_evaluation,control,73.0
HOBBIES_1_053_WI_1_evaluation,control,82.0
HOBBIES_1_066_TX_1_evaluation,control,146.0
HOBBIES_1_067_WI_1_evaluation,control,1476.0
HOBBIES_1_076_CA_1_evaluation,control,185.0
HOBBIES_1_076_TX_1_evaluation,control,215.0
HOBBIES_1_080_WI_1_evaluation,control,727.0
HOBBIES_1_088_CA_1_evaluation,control,232.0
HOBBIES_1_091_WI_1_evaluation,control,70.0
HOBBIES_1_094_CA_1_evaluation,control,128.0
HOBBIES_1_095_WI_1_evaluation,control,125.0
HOBBIES_1_098_CA_1_evaluation,control,121.0
HOBBIES_1_100_WI_1_evaluation,control,111.0
HOBBIES_1_105_CA_1_evaluation,control,159.0
HOBBIES_1_108_CA_1_evaluation,control,189.0
HOBBIES_1_115_TX_1_evaluation,control,419.0
HOBBIES_1_123_TX_1_evaluation,control,84.0
HOBBIES_1_124_CA_1_evaluation,control,266.0
HOBBIES_1_138_TX_1_evaluation,control,98.0
HOBBIES_1_139_CA_1_evaluation,control,194.0
HOBBIES_1_144_CA_1_evaluation,control,174.0
HOBBIES_1_144_TX_1_evaluation,control,70.0
HOBBIES_1_149_CA_1_evaluation,control,175.0
HOBBIES_1_157_CA_1_evaluation,control,156.0
HOBBIES_1_168_CA_1_evaluation,control,90.0
HOBBIES_1_180_WI_1_evaluation,control,98.0
HOBBIES_1_184_TX_1_evaluation,control,75.0
HOBBIES_1_186_CA_1_evaluation,control,226.0
HOBBIES_1_190_TX_1_evaluation,control,94.0
HOBBIES_1_194_WI_1_evaluation,control,273.0
HOBBIES_1_195_CA_1_evaluation,control,135.0
HOBBIES_1_202_WI_1_evaluation,control,387.0
HOBBIES_1_207_WI_1_evaluation,control,68.0
HOBBIES_1_209_CA_1_evaluation,control,758.0
HOBBIES_1_209_WI_1_evaluation,control,413.0
HOBBIES_1_212_CA_1_evaluation,control,30.0
HOBBIES_1_214_WI_1_evaluation,control,109.0
HOBBIES_1_218_TX_1_evaluation,control,86.0
HOBBIES_1_219_WI_1_evaluation,control,80.0
HOBBIES_1_221_TX_1_evaluation,control,77.0
HOBBIES_1_223_TX_1_evaluation,control,348.0
HOBBIES_1_236_CA_1_evaluation,control,577.0
HOBBIES_1_247_CA_1_evaluation,control,257.0
HOBBIES_1_247_WI_1_evaluation,control,94.0
HOBBIES_1_248_WI_1_evaluation,control,383.0
HOBBIES_1_249_CA_1_evaluation,control,182.0
HOBBIES_1_253_TX_1_evaluation,control,70.0
HOBBIES_1_262_TX_1_evaluation,control,127.0
HOBBIES_1_273_WI_1_evaluation,control,165.0
HOBBIES_1_279_WI_1_evaluation,control,220.0
HOBBIES_1_280_TX_1_evaluation,control,82.0
HOBBIES_1_283_WI_1_evaluation,control,93.0
HOBBIES_1_285_TX_1_evaluation,control,80.0
HOBBIES_1_287_CA_1_evaluation,control,192.0
HOBBIES_1_293_TX_1_evaluation,control,100.0
HOBBIES_1_294_TX_1_evaluation,control,110.0
HOBBIES_1_295_TX_1_evaluation,control,918.0
HOBBIES_1_295_WI_1_evaluation,control,662.0
HOBBIES_1_302_CA_1_evaluation,control,5.0
HOBBIES_1_314_CA_1_evaluation,control,90.0
HOBBIES_1_323_WI_1_evaluation,control,109.0
HOBBIES_1_325_CA_1_evaluation,control,75.0
HOBBIES_1_325_WI_1_evaluation,control,78.0
HOBBIES_1_328_CA_1_evaluation,control,168.0
HOBBIES_1_329_CA_1_evaluation,control,209.0
HOBBIES_1_334_CA_1_evaluation,control,201.0
HOBBIES_1_334_WI_1_evaluation,control,173.0
HOBBIES_1_335_TX_1_evaluation,control,105.0
HOBBIES_1_335_WI_1_evaluation,control,164.0
HOBBIES_1_338_CA_1_evaluation,control,198.0
HOBBIES_1_351_CA_1_evaluation,control,193.0
HOBBIES_1_354_TX_1_evaluation,control,437.0
HOBBIES_1_355_TX_1_evaluation,control,108.0
HOBBIES_1_359_WI_1_evaluation,control,78.0
HOBBIES_1_377_WI_1_evaluation,control,69.0
HOBBIES_1_379_CA_1_evaluation,control,317.0
HOBBIES_1_382_CA_1_evaluation,control,96.0
HOBBIES_1_385_TX_1_evaluation,control,86.0
HOBBIES_1_392_WI_1_evaluation,control,116.0
HOBBIES_1_394_WI_1_evaluation,control,341.0
HOBBIES_1_397_TX_1_evaluation,control,156.0
HOBBIES_1_397_WI_1_evaluation,control,134.0
HOBBIES_1_398_TX_1_evaluation,control,1132.0
HOBBIES_1_400_TX_1_evaluation,control,528.0
HOBBIES_1_401_TX_1_evaluation,control,87.0
HOBBIES_1_402_TX_1_evaluation,control,63.0
HOBBIES_1_403_TX_1_evaluation,control,20.0
HOBBIES_1_406_CA_1_evaluation,control,81.0
HOBBIES_1_414_CA_1_evaluation,control,95.0
HOBBIES_1_416_CA_1_evaluation,control,200.0
HOBBIES_1_417_WI_1_evaluation,control,911.0
HOBBIES_1_419_WI_1_evaluation,control,196.0
HOBBIES_1_424_CA_1_evaluation,control,403.0
HOBBIES_2_001_TX_1_evaluation,control,15.0
HOBBIES_2_002_CA_1_evaluation,control,70.0
HOBBIES_2_002_TX_1_evaluation,control,81.0
HOBBIES_2_005_TX_1_evaluation,control,50.0
HOBBIES_2_005_WI_1_evaluation,control,87.0
HOBBIES_2_007_TX_1_evaluation,control,81.0
HOBBIES_2_007_WI_1_evaluation,control,155.0
HOBBIES_2_010_WI_1_evaluation,control,78.0
HOBBIES_2_011_CA_1_evaluation,control,100.0
HOBBIES_2_014_TX_1_evaluation,control,143.0
HOBBIES_2_023_CA_1_evaluation,control,76.0
HOBBIES_2_025_CA_1_evaluation,control,95.0
HOBBIES_2_030_CA_1_evaluation,control,76.0
HOBBIES_2_031_WI_1_evaluation,control,60.0
HOBBIES_2_037_CA_1_evaluation,control,82.0
HOBBIES_2_039_WI_1_evaluation,control,97.0
HOBBIES_2_050_WI_1_evaluation,control,78.0
HOBBIES_2_059_CA_1_evaluation,control,523.0
HOBBIES_2_071_CA_1_evaluation,control,91.0
HOBBIES_2_074_CA_1_evaluation,control,82.0
HOBBIES_2_074_TX_1_evaluation,control,100.0
HOBBIES_2_079_TX_1_evaluation,control,5.0
HOBBIES_2_082_WI_1_evaluation,control,93.0
HOBBIES_2_084_TX_1_evaluation,control,55.0
HOBBIES_2_087_TX_1_evaluation,control,142.0
HOBBIES_2_092_WI_1_evaluation,control,96.0
HOBBIES_2_095_CA_1_evaluation,control,86.0
HOBBIES_2_096_WI_1_evaluation,control,87.0
HOBBIES_2_101_CA_1_evaluation,control,87.0
HOBBIES_2_106_TX_1_evaluation,control,77.0
HOBBIES_2_107_WI_1_evaluation,control,92.0
HOBBIES_2_115_WI_1_evaluation,control,117.0
HOBBIES_2_116_WI_1_evaluation,control,80.0
HOBBIES_2_117_WI_1_evaluation,control,107.0
HOBBIES_2_121_CA_1_evaluation,control,91.0
HOBBIES_2_121_WI_1_evaluation,control,147.0
HOBBIES_2_130_CA_1_evaluation,control,87.0
HOBBIES_2_130_WI_1_evaluation,control,81.0
HOBBIES_2_135_CA_1_evaluation,control,88.0
HOBBIES_2_137_CA_1_evaluation,control,90.0
HOBBIES_2_139_TX_1_evaluation,control,88.0
HOBBIES_2_148_TX_1_evaluation,control,92.0
HOBBIES_2_149_WI_1_evaluation,control,127.0
HOUSEHOLD_1_028_CA_1_evaluation,control,265.0
HOUSEHOLD_1_037_WI_1_evaluation,control,91.0
HOUSEHOLD_1_046_WI_1_evaluation,control,97.0
HOUSEHOLD_1_058_TX_1_evaluation,control,192.0
HOUSEHOLD_1_060_TX_1_evaluation,control,75.0
HOUSEHOLD_1_063_WI_1_evaluation,control,129.0
HOUSEHOLD_1_071_TX_1_evaluation,control,310.0
HOUSEHOLD_1_074_TX_1_evaluation,control,171.0
HOUSEHOLD_1_079_TX_1_evaluation,control,174.0
HOUSEHOLD_1_100_CA_1_evaluation,control,157.0
HOUSEHOLD_1_114_CA_1_evaluation,control,342.0
HOUSEHOLD_1_114_WI_1_evaluation,control,405.0
HOUSEHOLD_1_127_WI_1_evaluation,control,113.0
HOUSEHOLD_1_128_CA_1_evaluation,control,186.0
HOUSEHOLD_1_132_CA_1_evaluation,control,278.0
HOUSEHOLD_1_144_CA_1_evaluation,control,166.0
HOUSEHOLD_1_144_WI_1_evaluation,control,172.0
HOUSEHOLD_1_146_TX_1_evaluation,control,183.0
HOUSEHOLD_1_155_WI_1_evaluation,control,108.0
HOUSEHOLD_1_168_TX_1_evaluation,control,214.0
HOUSEHOLD_1_168_WI_1_evaluation,control,207.0
HOUSEHOLD_1_169_CA_1_evaluation,control,441.0
HOUSEHOLD_1_170_TX_1_evaluation,control,185.0
HOUSEHOLD_1_173_CA_1_evaluation,control,542.0
HOUSEHOLD_1_181_TX_1_evaluation,control,97.0
HOUSEHOLD_1_193_TX_1_evaluation,control,207.0
HOUSEHOLD_1_200_CA_1_evaluation,control,192.0
HOUSEHOLD_1_205_CA_1_evaluation,control,181.0
HOUSEHOLD_1_216_WI_1_evaluation,control,83.0
HOUSEHOLD_1_219_WI_1_evaluation,control,81.0
HOUSEHOLD_1_225_CA_1_evaluation,control,261.0
HOUSEHOLD_1_231_CA_1_evaluation,control,184.0
HOUSEHOLD_1_232_TX_1_evaluation,control,141.0
HOUSEHOLD_1_241_TX_1_evaluation,control,156.0
HOUSEHOLD_1_242_WI_1_evaluation,control,94.0
HOUSEHOLD_1_247_TX_1_evaluation,control,349.0
HOUSEHOLD_1_265_TX_1_evaluation,control,78.0
HOUSEHOLD_1_267_CA_1_evaluation,control,209.0
HOUSEHOLD_1_288_WI_1_evaluation,control,92.0
HOUSEHOLD_1_298_TX_1_evaluation,control,148.0
HOUSEHOLD_1_299_TX_1_evaluation,control,211.0
HOUSEHOLD_1_300_WI_1_evaluation,control,90.0
HOUSEHOLD_1_303_CA_1_evaluation,control,720.0
HOUSEHOLD_1_307_CA_1_evaluation,control,355.0
HOUSEHOLD_1_314_CA_1_evaluation,control,93.0
HOUSEHOLD_1_316_TX_1_evaluation,control,155.0
HOUSEHOLD_1_337_CA_1_evaluation,control,149.0
HOUSEHOLD_1_357_TX_1_evaluation,control,269.0
HOUSEHOLD_1_367_TX_1_evaluation,control,85.0
HOUSEHOLD_1_368_TX_1_evaluation,control,85.0
HOUSEHOLD_1_369_CA_1_evaluation,control,307.0
HOUSEHOLD_1_377_WI_1_evaluation,control,108.0
HOUSEHOLD_1_382_TX_1_evaluation,control,304.0
HOUSEHOLD_1_384_WI_1_evaluation,control,169.0
HOUSEHOLD_1_387_TX_1_evaluation,control,283.0
HOUSEHOLD_1_393_WI_1_evaluation,control,343.0
HOUSEHOLD_1_394_CA_1_evaluation,control,236.0
HOUSEHOLD_1_399_TX_1_evaluation,control,566.0
HOUSEHOLD_1_401_CA_1_evaluation,control,97.0
HOUSEHOLD_1_402_WI_1_evaluation,control,115.0
HOUSEHOLD_1_406_CA_1_evaluation,control,202.0
HOUSEHOLD_1_412_TX_1_evaluation,control,186.0
HOUSEHOLD_1_421_WI_1_evaluation,control,154.0
HOUSEHOLD_1_430_WI_1_evaluation,control,484.0
HOUSEHOLD_1_438_CA_1_evaluation,control,155.0
HOUSEHOLD_1_440_TX_1_evaluation,control,165.0
HOUSEHOLD_1_450_WI_1_evaluation,control,223.0
HOUSEHOLD_1_451_TX_1_evaluation,control,88.0
HOUSEHOLD_1_454_WI_1_evaluation,control,92.0
HOUSEHOLD_1_455_TX_1_evaluation,control,131.0
HOUSEHOLD_1_461_CA_1_evaluation,control,208.0
HOUSEHOLD_1_464_TX_1_evaluation,control,91.0
HOUSEHOLD_1_479_TX_1_evaluation,control,128.0
HOUSEHOLD_1_482_CA_1_evaluation,control,252.0
HOUSEHOLD_1_495_WI_1_evaluation,control,132.0
HOUSEHOLD_1_504_CA_1_evaluation,control,101.0
HOUSEHOLD_1_508_TX_1_evaluation,control,237.0
HOUSEHOLD_1_512_CA_1_evaluation,control,157.0
HOUSEHOLD_1_515_WI_1_evaluation,control,267.0
HOUSEHOLD_1_517_WI_1_evaluation,control,332.0
HOUSEHOLD_1_520_CA_1_evaluation,control,178.0
HOUSEHOLD_1_535_TX_1_evaluation,control,329.0
HOUSEHOLD_1_538_TX_1_evaluation,control,114.0
HOUSEHOLD_2_030_CA_1_evaluation,control,115.0
HOUSEHOLD_2_035_WI_1_evaluation,control,76.0
HOUSEHOLD_2_039_CA_1_evaluation,control,89.0
HOUSEHOLD_2_052_CA_1_evaluation,control,119.0
HOUSEHOLD_2_070_WI_1_evaluation,control,83.0
HOUSEHOLD_2_077_CA_1_evaluation,control,88.0
HOUSEHOLD_2_081_CA_1_evaluation,control,114.0
HOUSEHOLD_2_086_CA_1_evaluation,control,20.0
HOUSEHOLD_2_102_TX_1_evaluation,control,221.0
HOUSEHOLD_2_104_CA_1_evaluation,control,77.0
HOUSEHOLD_2_105_CA_1_evaluation,control,75.0
HOUSEHOLD_2_107_TX_1_evaluation,control,81.0
HOUSEHOLD_2_113_TX_1_evaluation,control,81.0
HOUSEHOLD_2_115_WI_1_evaluation,control,128.0
HOUSEHOLD_2_117_WI_1_evaluation,control,108.0
HOUSEHOLD_2_119_CA_1_evaluation,control,181.0
HOUSEHOLD_2_120_TX_1_evaluation,control,95.0
HOUSEHOLD_2_144_WI_1_evaluation,control,87.0
HOUSEHOLD_2_149_TX_1_evaluation,control,30.0
HOUSEHOLD_2_150_CA_1_evaluation,control,104.0
HOUSEHOLD_2_151_WI_1_evaluation,control,85.0
HOUSEHOLD_2_157_TX_1_evaluation,control,83.0
HOUSEHOLD_2_161_CA_1_evaluation,control,60.0
HOUSEHOLD_2_169_WI_1_evaluation,control,86.0
HOUSEHOLD_2_180_CA_1_evaluation,control,126.0
HOUSEHOLD_2_187_WI_1_evaluation,control,205.0
HOUSEHOLD_2_201_CA_1_evaluation,control,179.0
HOUSEHOLD_2_206_WI_1_evaluation,control,82.0
